date,new_cases,total_cases,new_tests,total_tests,new_deaths,total_deaths,cases_per_million,tests_per_million,deaths_per_million
2020-06-06,518,234531,34036.0,2599294.0,85,33774,3878.992874644809,558.6003784073482,42990.66181062207
2020-06-07,270,234801,27894.0,2627188.0,72,33846,3883.458502114756,559.791212399334,43452.01074635057
2020-06-08,197,234998,16301.0,2643489.0,53,33899,3886.7167562317168,560.6677985323236,43721.618870008366
2020-06-09,280,235278,32200.0,2675689.0,65,33964,3891.347777311662,561.7428569973108,44254.18629420202
2020-06-10,283,235561,37865.0,2713554.0,79,34043,3896.0284164746063,563.0494665162952,44880.449198459566
2020-06-11,202,235763,32991.0,2746545.0,71,34114,3899.3693673965663,564.2237611472813,45426.09925720406
2020-06-12,379,236142,37651.0,2784196.0,53,34167,3905.6377852154915,565.1003472802707,46048.82273820765
2020-06-13,163,236305,32880.0,2817076.0,56,34223,3908.3337010584596,566.0265514962598,46592.636927881176
2020-06-14,346,236651,29545.0,2846621.0,78,34301,3914.0563199643916,567.3166216542444,47081.29234862036
2020-06-15,338,236989,17463.0,2864084.0,44,34345,3919.646623982325,568.0443535382358,47370.11920975992
2020-06-16,301,237290,27762.0,2891846.0,26,34371,3924.624971643266,568.4743769242306,47829.28494983645
2020-06-17,210,237500,33957.0,2925803.0,34,34405,3928.098237453224,569.0367151982239,48390.91203130676
2020-06-18,328,237828,32921.0,2958724.0,43,34448,3933.5231478611595,569.7479077212155,48935.40433478128
2020-06-19,331,238159,28570.0,2987294.0,66,34514,3938.9976763520945,570.8395055472024,49407.93387854565
2020-06-20,-148,238011,29875.0,3017169.0,47,34561,3936.5498509241233,571.6168555141932,49902.04728841477
2020-06-21,264,238275,24581.0,3041750.0,49,34610,3940.9162422280715,572.4272842031835,50308.60132115093
2020-06-22,224,238499,16152.0,3057902.0,24,34634,3944.6210590920273,572.8242288671788,50575.74508001975
2020-06-23,221,238720,23225.0,3081127.0,23,34657,3948.276257872984,573.2046341701742,50959.87173924017
2020-06-24,113,238833,30237.0,3111364.0,18,34675,3950.145205665962,573.5023426681707,51459.972397791214
